"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.12484.67","PIPNB","Phosphatidylinositol transfer protein beta isoform","PITPNB","P48739"
"seq.12486.8","GLRX2","Glutaredoxin-2; mitochondrial","GLRX2","Q9NS18"
"seq.12488.9","MCTS1","Malignant T-cell-amplified sequence 1","MCTS1","Q9ULC4"
"seq.12490.92","LTOR3","Ragulator complex protein LAMTOR3","LAMTOR3","Q9UHA4"
"seq.12491.23","CLIC4","Chloride intracellular channel protein 4","CLIC4","Q9Y696"
"seq.12493.42","OTUB2","Ubiquitin thioesterase OTUB2","OTUB2","Q96DC9"
"seq.12494.99","GBRL2","Gamma-aminobutyric acid receptor-associated protein-like 2","GABARAPL2","P60520"
"seq.12497.29","SDOS","Tudor-interacting repair regulator protein","NUDT16L1","Q9BRJ7"
"seq.12498.12","TX1B3","Tax1-binding protein 3","TAX1BP3","O14907"
"seq.12499.108","SH3G2","Endophilin-A1","SH3GL2","Q99962"
"seq.12501.10","TBCA","Tubulin-specific chaperone A","TBCA","O75347"
"seq.12503.5","SPR1","Ovarian cancer G-protein coupled receptor 1","GPR68","Q15743"
"seq.12504.26","LMOD1","Leiomodin-1","LMOD1","P29536"
"seq.12507.16","IP3KC","Inositol-trisphosphate 3-kinase C","ITPKC","Q96DU7"
"seq.12508.9","CHMP3","Charged multivesicular body protein 3","CHMP3","Q9Y3E7"
"seq.12509.115","COMD1","COMM domain-containing protein 1","COMMD1","Q8N668"
"seq.12510.3","STAP1","Signal-transducing adaptor protein 1","STAP1","Q9ULZ2"
"seq.12511.83","S41A2","Solute carrier family 41 member 2","SLC41A2","Q96JW4"
"seq.12513.8","GLTP","Glycolipid transfer protein","GLTP","Q9NZD2"
"seq.12514.16","METTL1","tRNA (guanine-N(7)-)-methyltransferase","METTL1","Q9UBP6"
"seq.12515.45","UCK2","Uridine-cytidine kinase 2","UCK2","Q9BZX2"
"seq.12516.13","TEAD4","Transcriptional enhancer factor TEF-3","TEAD4","Q15561"
"seq.12517.52","TFAR19","Programmed cell death protein 5","PDCD5","O14737"
"seq.12518.289","PB1","Protein polybromo-1","PBRM1","Q86U86"
"seq.12521.3","CDN2C","Cyclin-dependent kinase 4 inhibitor C","CDKN2C","P42773"
"seq.12522.6","RD23B","UV excision repair protein RAD23 homolog B","RAD23B","P54727"
"seq.12524.18","SAT2","Diamine acetyltransferase 2","SAT2","Q96F10"
"seq.12527.50","THA","Thyroid hormone receptor alpha","THRA","P10827"
"seq.12528.40","WRIP1","ATPase WRNIP1","WRNIP1","Q96S55"
"seq.12529.32","FKBP6","Inactive peptidyl-prolyl cis-trans isomerase FKBP6","FKBP6","O75344"
"seq.12530.14","CKS-1","Cyclin-dependent kinases regulatory subunit 1","CKS1B","P61024"
"seq.12531.5","ERVV1","Endogenous retrovirus group V member 1 Env polyprotein","ERVV-1","B6SEH8"
"seq.12532.28","UB2R1","Ubiquitin-conjugating enzyme E2 R1","CDC34","P49427"
"seq.12533.135","CYH2","Cytohesin-2","CYTH2","Q99418"
"seq.12534.10","CACO2","Calcium-binding and coiled-coil domain-containing protein 2","CALCOCO2","Q13137"
"seq.12535.2","XRCC1","DNA repair protein XRCC1","XRCC1","P18887"
"seq.12536.46","MTMR6","Myotubularin-related protein 6","MTMR6","Q9Y217"
"seq.12537.88","PURA","Transcriptional activator protein Pur-alpha","PURA","Q00577"
"seq.12538.19","RGS7","Regulator of G-protein signaling 7","RGS7","P49802"
"seq.12540.25","RHOG","Rho-related GTP-binding protein RhoG","RHOG","P84095"
"seq.12543.76","ZN560","Zinc finger protein 560","ZNF560","Q96MR9"
"seq.12548.75","RRAGC","Ras-related GTP-binding protein C","RRAGC","Q9HB90"
"seq.12549.33","PTGD2","Hematopoietic prostaglandin D synthase","HPGDS","O60760"
"seq.12551.3","ITCH","E3 ubiquitin-protein ligase Itchy homolog","ITCH","Q96J02"
"seq.12553.5","VRK1","Serine/threonine-protein kinase VRK1","VRK1","Q99986"
"seq.12554.10","RA51D","DNA repair protein RAD51 homolog 4","RAD51D","O75771"
"seq.12556.7","UBE2C","Ubiquitin-conjugating enzyme E2 C","UBE2C","O00762"
"seq.12557.18","NOVA1","RNA-binding protein Nova-1","NOVA1","P51513"
"seq.12558.3","UBS3B","Ubiquitin-associated and SH3 domain-containing protein B","UBASH3B","Q8TF42"
"seq.12560.9","NT5C","5'(3')-deoxyribonucleotidase; cytosolic type","NT5C","Q8TCD5"
"seq.12562.1","PKN1","Serine/threonine-protein kinase N1","PKN1","Q16512"
"seq.12563.2","TFIP8","Tumor necrosis factor alpha-induced protein 8","TNFAIP8","O95379"
"seq.12564.9","NIP7","60S ribosome subunit biogenesis protein NIP7 homolog","NIP7","Q9Y221"
"seq.12568.14","KEAP1","Kelch-like ECH-associated protein 1","KEAP1","Q14145"
"seq.12571.14","ARL3","ADP-ribosylation factor-like protein 3","ARL3","P36405"
"seq.12572.236","EFS","Embryonal Fyn-associated substrate","EFS","O43281"
"seq.12573.80","TRIM3","Tripartite motif-containing protein 3","TRIM3","O75382"
"seq.12574.36","Endothelin 2","Endothelin-2","EDN2","P20800"
"seq.12575.30","C1TC","C-1-tetrahydrofolate synthase; cytoplasmic","MTHFD1","P11586"
"seq.12576.21","MAGE-3","Melanoma-associated antigen 3","MAGEA3","P43357"
"seq.12577.100","FLAP endonuclease-1","Flap endonuclease 1","FEN1","P39748"
"seq.12578.13","ARF3","ADP-ribosylation factor 3","ARF3","P61204"
"seq.12580.7","PSB5","Proteasome subunit beta type-5","PSMB5","P28074"
"seq.12581.39","IMPA2","Inositol monophosphatase 2","IMPA2","O14732"
"seq.12583.77","ARAF","Serine/threonine-protein kinase A-Raf","ARAF","P10398"
"seq.12585.39","ERCC1","DNA excision repair protein ERCC-1","ERCC1","P07992"
"seq.12587.65","ARL2","ADP-ribosylation factor-like protein 2","ARL2","P36404"
"seq.12591.27","Oligophrenin-1","Oligophrenin-1","OPHN1","O60890"
"seq.12593.33","PDRG1","p53 and DNA damage-regulated protein 1","PDRG1","Q9NUG6"
"seq.12594.5","GRAN","Grancalcin","GCA","P28676"
"seq.12595.11","TMOD1","Tropomodulin-1","TMOD1","P28289"
"seq.12597.68","Autophagy protein 5","Autophagy protein 5","ATG5","Q9H1Y0"
"seq.12603.87","PABP4","Polyadenylate-binding protein 4","PABPC4","Q13310"
"seq.12604.16","SCMH1","Polycomb protein SCMH1","SCMH1","Q96GD3"
"seq.12605.1","Exosome component 3","Exosome complex component RRP40","EXOSC3","Q9NQT5"
"seq.12612.37","PSB1","Proteasome subunit beta type-1","PSMB1","P20618"
"seq.12616.45","NRBP","Nuclear receptor-binding protein","NRBP1","Q9UHY1"
"seq.12617.2","STK24","Serine/threonine-protein kinase 24","STK24","Q9Y6E0"
"seq.12618.50","Aldo-keto reductase 1C1","Aldo-keto reductase family 1 member C1","AKR1C1","Q04828"
"seq.12619.14","Protein phophatase 2Ca","Protein phosphatase 1A","PPM1A","P35813"
"seq.12620.3","Septin-11","Septin-11","SEPTIN11","Q9NVA2"
"seq.12621.55","PP2AAA","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform","PPP2R1A","P30153"
"seq.12622.96","ASH1L","Histone-lysine N-methyltransferase ASH1L","ASH1L","Q9NR48"
"seq.12623.84","JARD2","Protein Jumonji","JARID2","Q92833"
"seq.12625.138","KLHL7","Kelch-like protein 7","KLHL7","Q8IXQ5"
"seq.12626.6","SENP7","Sentrin-specific protease 7","SENP7","Q9BQF6"
"seq.12627.97","ATG7","Ubiquitin-like modifier-activating enzyme ATG7","ATG7","O95352"
"seq.12628.31","LANC2","LanC-like protein 2","LANCL2","Q9NS86"
"seq.12630.8","ARFP2","Arfaptin-2","ARFIP2","P53365"
"seq.12632.14","ARY1","Arylamine N-acetyltransferase 1","NAT1","P18440"
"seq.12633.3","PTN9","Tyrosine-protein phosphatase non-receptor type 9","PTPN9","P43378"
"seq.12634.79","BCAR3:Ras-GEF","Breast cancer anti-estrogen resistance protein 3:Guanine Nucleotide Exchange Factor Domain","BCAR3","O75815"
"seq.12635.9","TRDMT","tRNA (cytosine(38)-C(5))-methyltransferase","TRDMT1","O14717"
"seq.12636.113","SMYD2","N-lysine methyltransferase SMYD2","SMYD2","Q9NRG4"
"seq.12637.7","CACP","Carnitine O-acetyltransferase","CRAT","P43155"
"seq.12641.3","I5P2","Type II inositol 1;4;5-trisphosphate 5-phosphatase","INPP5B","P32019"
"seq.12643.4","ARRB1","Beta-arrestin-1","ARRB1","P49407"
"seq.12646.2","RPE","Ribulose-phosphate 3-epimerase","RPE","Q96AT9"
"seq.12647.52","SETD2","Histone-lysine N-methyltransferase SETD2","SETD2","Q9BYW2"
"seq.12650.43","GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3","P08754"
"seq.12651.21","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2; mitochondrial","PDK2","Q15119"
"seq.12652.37","SAHH2","Adenosylhomocysteinase 2","AHCYL1","O43865"
"seq.12653.13","CSNK1G2","Casein kinase I isoform gamma-2","CSNK1G2","P78368"
"seq.12655.30","SNAB","Beta-soluble NSF attachment protein","NAPB","Q9H115"
"seq.12656.1","KLC1","Kinesin light chain 1","KLC1","Q07866"
"seq.12657.2","FCL","GDP-L-fucose synthase","GFUS","Q13630"
"seq.12658.72","PANK3","Pantothenate kinase 3","PANK3","Q9H999"
"seq.12659.13","GTPB9","Obg-like ATPase 1","OLA1","Q9NTK5"
"seq.12661.44","GBRL1","Gamma-aminobutyric acid receptor-associated protein-like 1","GABARAPL1","Q9H0R8"
"seq.12662.82","ECH1","Delta(3;5)-Delta(2;4)-dienoyl-CoA isomerase; mitochondrial","ECH1","Q13011"
"seq.12663.1","THTR","Thiosulfate sulfurtransferase","TST","Q16762"
"seq.12664.19","PTN13","Tyrosine-protein phosphatase non-receptor type 13","PTPN13","Q12923"
"seq.12665.16","ILF2","Interleukin enhancer-binding factor 2","ILF2","Q12905"
"seq.12667.2","GUAD","Guanine deaminase","GDA","Q9Y2T3"
"seq.12668.7","VPS4B","Vacuolar protein sorting-associated protein 4B","VPS4B","O75351"
"seq.12669.30","HECW1","E3 ubiquitin-protein ligase HECW1","HECW1","Q76N89"
"seq.12670.15","RAD1","Cell cycle checkpoint protein RAD1","RAD1","O60671"
"seq.12671.35","ST1B1","Sulfotransferase family cytosolic 1B member 1","SULT1B1","O43704"
"seq.12675.14","SYDC","Aspartate--tRNA ligase; cytoplasmic","DARS1","P14868"
"seq.12676.1","PACN1","Protein kinase C and casein kinase substrate in neurons protein 1","PACSIN1","Q9BY11"
"seq.12677.164","FLII","Protein flightless-1 homolog","FLII","Q13045"
"seq.12678.66","SNRPA","U1 small nuclear ribonucleoprotein A","SNRPA","P09012"
"seq.12681.63","UBP21","Ubiquitin carboxyl-terminal hydrolase 21","USP21","Q9UK80"
"seq.12682.5","KAT3","Kynurenine--oxoglutarate transaminase 3","KYAT3","Q6YP21"
"seq.12683.156","DPYL5","Dihydropyrimidinase-related protein 5","DPYSL5","Q9BPU6"
"seq.12684.5","ADSV","Adseverin","SCIN","Q9Y6U3"
"seq.12685.57","HOME2","Homer protein homolog 2","HOMER2","Q9NSB8"
"seq.12686.15","THTM","3-mercaptopyruvate sulfurtransferase","MPST","P25325"
"seq.12687.2","DECR","2;4-dienoyl-CoA reductase; mitochondrial","DECR1","Q16698"
"seq.12688.115","KS6A6","Ribosomal protein S6 kinase alpha-6","RPS6KA6","Q9UK32"
"seq.12690.33","SEP10","Septin-10","SEPTIN10","Q9P0V9"
"seq.12691.44","GLYM","Serine hydroxymethyltransferase; mitochondrial","SHMT2","P34897"
"seq.12692.56","DOT1L","Histone-lysine N-methyltransferase; H3 lysine-79 specific","DOT1L","Q8TEK3"
"seq.12693.2","SH3L1","SH3 domain-binding glutamic acid-rich-like protein","SH3BGRL","O75368"
"seq.12694.28","DIM1","Probable dimethyladenosine transferase","DIMT1","Q9UNQ2"
"seq.12695.62","KLH12","Kelch-like protein 12","KLHL12","Q53G59"
"seq.12696.166","ANM3","Protein arginine N-methyltransferase 3","PRMT3","O60678"
"seq.12697.30","PI42A","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha","PIP4K2A","P48426"
"seq.12698.72","IMA4","Importin subunit alpha-3","KPNA4","O00629"
"seq.12700.9","ACLY","ATP-citrate synthase","ACLY","P53396"
"seq.12702.13","PELI2","E3 ubiquitin-protein ligase pellino homolog 2","PELI2","Q9HAT8"
"seq.12703.6","NEK7","Serine/threonine-protein kinase Nek7","NEK7","Q8TDX7"
"seq.12704.26","SH2D3","SH2 domain-containing protein 3C","SH2D3C","Q8N5H7"
"seq.12705.9","HERC1","Probable E3 ubiquitin-protein ligase HERC1","HERC1","Q15751"
"seq.12706.2","MRCKA","Serine/threonine-protein kinase MRCK alpha","CDC42BPA","Q5VT25"
"seq.12707.26","DPYL3","Dihydropyrimidinase-related protein 3","DPYSL3","Q14195"
"seq.12708.91","LMBL2","Lethal(3)malignant brain tumor-like protein 2","L3MBTL2","Q969R5"
"seq.12709.63","H1X","Histone H1x","H1-10","Q92522"
"seq.12711.19","CXA8","Gap junction alpha-8 protein","GJA8","P48165"
"seq.12712.9","HM20A","High mobility group protein 20A","HMG20A","Q9NP66"
"seq.12713.365","RGS19","Regulator of G-protein signaling 19","RGS19","P49795"
"seq.12714.38","AP1G2","AP-1 complex subunit gamma-like 2","AP1G2","O75843"
"seq.12716.3","ZN175","Zinc finger protein 175","ZNF175","Q9Y473"
"seq.12717.65","TOX3","TOX high mobility group box family member 3","TOX3","O15405"
"seq.12718.43","PIN4","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4","PIN4","Q9Y237"
"seq.12720.71","UBQL4","Ubiquilin-4","UBQLN4","Q9NRR5"
"seq.12721.4","TAXB1","Tax1-binding protein 1","TAX1BP1","Q86VP1"
"seq.12724.81","CIRBP","Cold-inducible RNA-binding protein","CIRBP","Q14011"
"seq.12726.3","RFXAP","Regulatory factor X-associated protein","RFXAP","O00287"
"seq.12727.7","FPRP","Prostaglandin F2 receptor negative regulator","PTGFRN","Q9P2B2"
"seq.12729.12","PSMG3","Proteasome assembly chaperone 3","PSMG3","Q9BT73"
"seq.12730.3","KNTC2","Kinetochore protein NDC80 homolog","NDC80","O14777"
"seq.12731.12","PKHA7","Pleckstrin homology domain-containing family A member 7","PLEKHA7","Q6IQ23"
"seq.12732.13","MPP7","MAGUK p55 subfamily member 7","MPP7","Q5T2T1"
"seq.12734.112","KIF22","Kinesin-like protein KIF22","KIF22","Q14807"
"seq.12735.39","CSDE1","Cold shock domain-containing protein E1","CSDE1","O75534"
"seq.12737.12","PLSI","Plastin-1","PLS1","Q14651"
"seq.12738.43","NISCH","Nischarin","NISCH","Q9Y2I1"
"seq.12740.55","FEV","Protein FEV","FEV","Q99581"
"seq.12742.160","TMM8B","Transmembrane protein 8B","TMEM8B","A6NDV4"
"seq.12743.18","BAG5","BAG family molecular chaperone regulator 5","BAG5","Q9UL15"
"seq.12746.4","CYH4","Cytohesin-4","CYTH4","Q9UIA0"
"seq.12747.89","RBM3","RNA-binding protein 3","RBM3","P98179"
"seq.12748.6","BRDT","Bromodomain testis-specific protein","BRDT","Q58F21"
"seq.12750.9","LFA-1 beta-2","Integrin beta-2","ITGB2","P05107"
"seq.12751.26","ZHX1","Zinc fingers and homeoboxes protein 1","ZHX1","Q9UKY1"
"seq.12753.6","APBB2:PID 1","Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 1","APBB2","Q92870"
"seq.12754.14","CSDC2","Cold shock domain-containing protein C2","CSDC2","Q9Y534"
"seq.12756.3","BACH2","Transcription regulator protein BACH2","BACH2","Q9BYV9"
"seq.12758.47","GRID2","Glutamate receptor ionotropic; delta-2","GRID2","O43424"
"seq.12759.47","DRBP76","Interleukin enhancer-binding factor 3","ILF3","Q12906"
"seq.12760.34","ZN774","Zinc finger protein 774","ZNF774","Q6NX45"
"seq.12761.12","APBB2:PID 2","Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 2","APBB2","Q92870"
"seq.12763.69","ZN334","Zinc finger protein 334","ZNF334","Q9HCZ1"
"seq.12764.3","ELMO1","Engulfment and cell motility protein 1","ELMO1","Q92556"
"seq.12766.33","GP142","Probable G-protein coupled receptor 142","GPR142","Q7Z601"
"seq.12768.3","PPR3B","Protein phosphatase 1 regulatory subunit 3B","PPP1R3B","Q86XI6"
"seq.12771.19","ZN180","Zinc finger protein 180","ZNF180","Q9UJW8"
"seq.12772.8","NUP98","Nuclear pore complex protein Nup98-Nup96","NUP98","P52948"
"seq.12774.12","HCN1","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1","HCN1","O60741"
"seq.12775.6","HMGB3","High mobility group protein B3","HMGB3","O15347"
"seq.12777.11","SF01","Splicing factor 1","SF1","Q15637"
"seq.12779.30","PRDM4","PR domain zinc finger protein 4","PRDM4","Q9UKN5"
"seq.12781.2","TRBP2","RISC-loading complex subunit TARBP2","TARBP2","Q15633"
"seq.12783.29","HNRPM","Heterogeneous nuclear ribonucleoprotein M","HNRNPM","P52272"
"seq.12784.10","APBB3:PID 1","Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 1;Isoform II","APBB3","O95704"
"seq.12785.49","KAISO","Transcriptional regulator Kaiso","ZBTB33","Q86T24"
"seq.12786.61","GDE5","Glycerophosphocholine phosphodiesterase GPCPD1","GPCPD1","Q9NPB8"
"seq.12787.47","ZN134","Zinc finger protein 134","ZNF134","P52741"
"seq.12788.6","SGF29","SAGA-associated factor 29 homolog","SGF29","Q96ES7"
"seq.12790.10","CCD51","Coiled-coil domain-containing protein 51","CCDC51","Q96ER9"
"seq.12793.4","PIWL1","Piwi-like protein 1","PIWIL1","Q96J94"
"seq.12794.6","NALP4","NACHT; LRR and PYD domains-containing protein 4","NLRP4","Q96MN2"
"seq.12795.2","ZN566","Zinc finger protein 566","ZNF566","Q969W8"
"seq.12796.44","NUDT3","Diphosphoinositol polyphosphate phosphohydrolase 1","NUDT3","O95989"
"seq.12798.46","S4A8","Electroneutral sodium bicarbonate exchanger 1","SLC4A8","Q2Y0W8"
"seq.12799.65","DJC27","DnaJ homolog subfamily C member 27","DNAJC27","Q9NZQ0"
"seq.12800.5","TPPP2","Tubulin polymerization-promoting protein family member 2","TPPP2","P59282"
"seq.12801.33","IRF2","Interferon regulatory factor 2","IRF2","P14316"
"seq.12803.9","ZN329","Zinc finger protein 329","ZNF329","Q86UD4"
"seq.12804.5","GMEB2","Glucocorticoid modulatory element-binding protein 2","GMEB2","Q9UKD1"
"seq.12807.89","RHG30","Rho GTPase-activating protein 30","ARHGAP30","Q7Z6I6"
"seq.12808.103","CHSP1","Calcium-regulated heat-stable protein 1","CARHSP1","Q9Y2V2"
"seq.12811.55","ZN415","Zinc finger protein 415","ZNF415","Q09FC8"
"seq.12812.25","ACYP2","Acylphosphatase-2","ACYP2","P14621"
"seq.12813.18","EHBP1","EH domain-binding protein 1","EHBP1","Q8NDI1"
"seq.12814.17","RBM40","RNA-binding protein 40","RNPC3","Q96LT9"
"seq.12815.9","SYIC","Isoleucine--tRNA ligase; cytoplasmic","IARS1","P41252"
"seq.12817.1","GEM","GTP-binding protein GEM","GEM","P55040"
"seq.12818.159","UT2","Urea transporter 2","SLC14A2","Q15849"
"seq.12820.1","GRAP","GRB2-related adapter protein","GRAP","Q13588"
"seq.12821.6","NAL10","NACHT; LRR and PYD domains-containing protein 10","NLRP10","Q86W26"
"seq.12822.34","APBB1:PID 1","Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 1","APBB1","O00213"
"seq.12825.18","DP13A","DCC-interacting protein 13-alpha","APPL1","Q9UKG1"
"seq.12826.5","SC5A5","Sodium/iodide cotransporter","SLC5A5","Q92911"
"seq.12827.37","RGS3","Regulator of G-protein signaling 3","RGS3","P49796"
"seq.12830.4","SAP18","Histone deacetylase complex subunit SAP18","SAP18","O00422"
"seq.12831.21","TESC","Calcineurin B homologous protein 3","TESC","Q96BS2"
"seq.12832.10","ASH2L","Set1/Ash2 histone methyltransferase complex subunit ASH2","ASH2L","Q9UBL3"
"seq.12834.3","KCNF1","Potassium voltage-gated channel subfamily F member 1","KCNF1","Q9H3M0"
"seq.12835.101","PYDC1","Pyrin domain-containing protein 1","PYDC1","Q8WXC3"
"seq.12838.28","DUS15","Dual specificity protein phosphatase 15","DUSP15","Q9H1R2"
"seq.12842.43","STX10","Syntaxin-10","STX10","O60499"
"seq.12843.6","ZN410","Zinc finger protein 410","ZNF410","Q86VK4"
"seq.12844.10","BAG4","BAG family molecular chaperone regulator 4","BAG4","O95429"
"seq.12845.18","SNX17","Sorting nexin-17","SNX17","Q15036"
"seq.12846.3","FBXL5","F-box/LRR-repeat protein 5","FBXL5","Q9UKA1"
"seq.12847.27","MCE1","mRNA-capping enzyme","RNGTT","O60942"
"seq.12848.9","ARHG2","Rho guanine nucleotide exchange factor 2","ARHGEF2","Q92974"
"seq.12849.25","GSKIP","GSK3-beta interaction protein","GSKIP","Q9P0R6"
"seq.12851.5","DPOLM","DNA-directed DNA/RNA polymerase mu","POLM","Q9NP87"
"seq.12853.112","TMOD2","Tropomodulin-2","TMOD2","Q9NZR1"
"seq.12855.16","CT032","Cas scaffolding protein family member 4","CASS4","Q9NQ75"
"seq.12856.14","TM237","Transmembrane protein 237","TMEM237","Q96Q45"
"seq.12859.33","PECI","Enoyl-CoA delta isomerase 2; mitochondrial","ECI2","O75521"
"seq.12860.7","cAMP-regulated phosphoprotein 21","cAMP-regulated phosphoprotein 21","ARPP21","Q9UBL0"
"seq.12861.13","TMOD3","Tropomodulin-3","TMOD3","Q9NYL9"
"seq.12862.14","CASL","Enhancer of filamentation 1","NEDD9","Q14511"
"seq.12864.9","NIPA4","Magnesium transporter NIPA4","NIPAL4","Q0D2K0"
"seq.12867.40","DYLT3","Dynein light chain Tctex-type 3","DYNLT3","P51808"
"seq.12869.68","DDX6","Probable ATP-dependent RNA helicase DDX6","DDX6","P26196"
"seq.12871.10","TWF1","Twinfilin-1","TWF1","Q12792"
"seq.12872.35","CNGA2","Cyclic nucleotide-gated olfactory channel","CNGA2","Q16280"
"seq.12873.11","LEUK","Leukosialin","SPN","P16150"
"seq.12875.28","UBTD2","Ubiquitin domain-containing protein 2","UBTD2","Q8WUN7"
"seq.12876.39","SPEF1","Sperm flagellar protein 1","SPEF1","Q9Y4P9"
"seq.12878.60","OSB11","Oxysterol-binding protein-related protein 11","OSBPL11","Q9BXB4"
"seq.12879.5","p107","Retinoblastoma-like protein 1","RBL1","P28749"
"seq.12880.1","SV2A","Synaptic vesicle glycoprotein 2A","SV2A","Q7L0J3"
"seq.12881.17","RDH16","Retinol dehydrogenase 16","RDH16","O75452"
"seq.12882.7","PAR11","Poly [ADP-ribose] polymerase 11","PARP11","Q9NR21"
"seq.12885.42","NR1D2","Nuclear receptor subfamily 1 group D member 2","NR1D2","Q14995"
"seq.12888.18","SAP30","Histone deacetylase complex subunit SAP30","SAP30","O75446"
"seq.12891.1","MILK2","MICAL-like protein 2","MICALL2","Q8IY33"
"seq.12892.10","SYTL1","Synaptotagmin-like protein 1","SYTL1","Q8IYJ3"
"seq.12893.159","IP16:HIN 2","Gamma-interferon-inducible protein 16:Isoform 2; Hematopoietic expression; interferon-inducible nature; and nuclear localization 2","IFI16","Q16666"
"seq.12894.3","PAXI1","PAX-interacting protein 1","PAXIP1","Q6ZW49"
"seq.12895.28","DGKB","Diacylglycerol kinase beta","DGKB","Q9Y6T7"
"seq.12904.180","cubilin","cubilin","CUBN","O60494"
"seq.12916.3","MTCP1","Protein p13 MTCP-1","MTCP1","P56278"
"seq.12923.51","Keratin 17","Keratin; type I cytoskeletal 17","KRT17","Q04695"
"seq.12925.105","AXIN2","Axin-2","AXIN2","Q9Y2T1"
"seq.12931.16","MCR","Mineralocorticoid receptor","NR3C2","P08235"
"seq.12933.17","ENOX1","Ecto-NOX disulfide-thiol exchanger 1","ENOX1","Q8TC92"
"seq.12934.1","HERC5","E3 ISG15--protein ligase HERC5","HERC5","Q9UII4"
"seq.12936.38","RLBP1","Retinaldehyde-binding protein 1","RLBP1","P12271"
"seq.12940.35","AL3B1","Aldehyde dehydrogenase family 3 member B1","ALDH3B1","P43353"
"seq.12954.71","PPARa","Peroxisome proliferator-activated receptor alpha","PPARA","Q07869"
"seq.12956.40","KBP","KIF1-binding protein","KIFBP","Q96EK5"
"seq.12957.62","UCR6","Cytochrome b-c1 complex subunit 7","UQCRB","P14927"
"seq.12960.9","HXK4","Glucokinase","GCK","P35557"
"seq.12963.1","GP107","Protein GPR107","GPR107","Q5VW38"
"seq.12968.2","CSRP2","Cysteine and glycine-rich protein 2","CSRP2","Q16527"
"seq.12970.35","STAU2","Double-stranded RNA-binding protein Staufen homolog 2","STAU2","Q9NUL3"
"seq.12975.11","Keratin 20","Keratin; type I cytoskeletal 20","KRT20","P35900"
"seq.12976.49","Vinexin b","Vinexin b","SORBS3","O60504"
"seq.12980.31","RBM22","Pre-mRNA-splicing factor RBM22","RBM22","Q9NW64"
"seq.12986.12","LIN7C","Protein lin-7 homolog C","LIN7C","Q9NUP9"
"seq.12987.12","SRSF7","Serine/arginine-rich splicing factor 7","SRSF7","Q16629"
"seq.12988.49","EWS","RNA-binding protein EWS","EWSR1","Q01844"
"seq.12990.39","MAP3K3","Mitogen-activated protein kinase kinase kinase 3","MAP3K3","Q99759"
"seq.12991.49","CUL9","Cullin-9","CUL9","Q8IWT3"
"seq.12993.21","NPL4","Nuclear protein localization protein 4 homolog","NPLOC4","Q8TAT6"
"seq.13007.66","LCN10","Epididymal-specific lipocalin-10","LCN10","Q6JVE6"
"seq.13011.20","RS10","40S ribosomal protein S10","RPS10","P46783"
"seq.13013.41","PRKN2","E3 ubiquitin-protein ligase parkin","PRKN","O60260"
"seq.13022.20","P5I11","Tumor protein p53-inducible protein 11","TP53I11","O14683"
"seq.13025.4","FRS2","Fibroblast growth factor receptor substrate 2","FRS2","Q8WU20"
"seq.13027.20","CBX7","Chromobox protein homolog 7","CBX7","O95931"
"seq.13032.1","BECN1","Beclin-1","BECN1","Q14457"
"seq.13039.1","PP1R8","Nuclear inhibitor of protein phosphatase 1","PPP1R8","Q12972"
"seq.13041.47","TRAF4","TNF receptor-associated factor 4","TRAF4","Q9BUZ4"
"seq.13042.7","KCA10","Potassium voltage-gated channel subfamily A member 10","KCNA10","Q16322"
"seq.13043.157","ATAD2","ATPase family AAA domain-containing protein 2","ATAD2","Q6PL18"
"seq.13044.5","TS101","Tumor susceptibility gene 101 protein","TSG101","Q99816"
"seq.13053.6","S6A14","Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)","SLC6A14","Q9UN76"
"seq.13054.87","Profilin II","Profilin-2","PFN2","P35080"
"seq.13055.53","PSD1","PH and SEC7 domain-containing protein 1","PSD","A5PKW4"
"seq.13056.18","S6A16","Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5","SLC6A16","Q9GZN6"
"seq.13059.33","RIFK","Riboflavin kinase","RFK","Q969G6"
"seq.13066.42","EDC4","Enhancer of mRNA-decapping protein 4","EDC4","Q6P2E9"
"seq.13067.5","KGP1B","cGMP-dependent protein kinase 1; beta isozyme","PRKG1","Q13976"
"seq.13068.139","CCS","Copper chaperone for superoxide dismutase","CCS","O14618"
"seq.13073.14","AN32A","Acidic leucine-rich nuclear phosphoprotein 32 family member A","ANP32A","P39687"
"seq.13076.4","FXR1","Fragile X mental retardation syndrome-related protein 1","FXR1","P51114"
"seq.13078.3","CETN2","Centrin-2","CETN2","P41208"
