"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.25072.11","CHD1L","Chromodomain-helicase-DNA-binding protein 1-like","CHD1L","Q86WJ1"
"seq.25074.119","GLPK5","Putative glycerol kinase 5","GK5","Q6ZS86"
"seq.25075.2","ZBT10","Zinc finger and BTB domain-containing protein 10","ZBTB10","Q96DT7"
"seq.25076.2","Selenium-binding protein 1","Selenium-binding protein 1","SELENBP1","Q13228"
"seq.25078.13","ATG4C","Cysteine protease ATG4C","ATG4C","Q96DT6"
"seq.25080.16","UDB15","UDP-glucuronosyltransferase 2B15","UGT2B15","P54855"
"seq.25082.3","WASL","Neural Wiskott-Aldrich syndrome protein","WASL","O00401"
"seq.25083.26","Diaphanous-related formin-1","Protein diaphanous homolog 1","DIAPH1","O60610"
"seq.25085.37","ASPC1","Tether containing UBX domain for GLUT4","ASPSCR1","Q9BZE9"
"seq.25086.83","GRM2B","GRAM domain-containing protein 2B","GRAMD2B","Q96HH9"
"seq.25087.11","DTNA","Dystrobrevin alpha","DTNA","Q9Y4J8"
"seq.25088.42","PHKA1","Phosphorylase b kinase regulatory subunit alpha; skeletal muscle isoform","PHKA1","P46020"
"seq.25089.21","KRIP-1","Transcription intermediary factor 1-beta","TRIM28","Q13263"
"seq.25091.83","FNBP2","SLIT-ROBO Rho GTPase-activating protein 2","SRGAP2","O75044"
"seq.25093.96","VANG1","Vang-like protein 1","VANGL1","Q8TAA9"
"seq.25094.9","ACSA","Acetyl-coenzyme A synthetase; cytoplasmic","ACSS2","Q9NR19"
"seq.25095.1","SNCAP","Synphilin-1","SNCAIP","Q9Y6H5"
"seq.25096.58","MYPC2","Myosin-binding protein C; fast-type","MYBPC2","Q14324"
"seq.25099.4","CAPS2","Calcium-dependent secretion activator 2","CADPS2","Q86UW7"
"seq.25100.11","CMIP","C-Maf-inducing protein","CMIP","Q8IY22"
"seq.25102.23","ELP1","Elongator complex protein 1","ELP1","O95163"
"seq.25103.45","VPS53","Vacuolar protein sorting-associated protein 53 homolog","VPS53","Q5VIR6"
"seq.25104.10","TF2L1","Transcription factor CP2-like protein 1","TFCP2L1","Q9NZI6"
"seq.25105.70","EIF2A","Eukaryotic translation initiation factor 2A","EIF2A","Q9BY44"
"seq.25105.87","EIF2A","Eukaryotic translation initiation factor 2A","EIF2A","Q9BY44"
"seq.25108.6","ATE1","Arginyl-tRNA--protein transferase 1","ATE1","O95260"
"seq.25110.19","EXOC7","Exocyst complex component 7","EXOC7","Q9UPT5"
"seq.25111.24","RAD18","E3 ubiquitin-protein ligase RAD18","RAD18","Q9NS91"
"seq.25112.6","KS6B2","Ribosomal protein S6 kinase beta-2","RPS6KB2","Q9UBS0"
"seq.25114.256","TBC24","TBC1 domain family member 24","TBC1D24","Q9ULP9"
"seq.25115.21","FHOD1","FH1/FH2 domain-containing protein 1","FHOD1","Q9Y613"
"seq.25116.11","CCDC9","Coiled-coil domain-containing protein 9","CCDC9","Q9Y3X0"
"seq.25117.17","PGM5","PGM5","PGM5","Q15124"
"seq.25118.45","BICD1","Protein bicaudal D homolog 1","BICD1","Q96G01"
"seq.25121.7","NOMO2","Nodal modulator 2","NOMO2","Q5JPE7"
