AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.24720.10,Ankyrin repeat domain-containing protein 16,ANR16,Q6P6B7,0.189036106,8.087610074,1.41462791,0.173310825,0.982436854,-4.482639269
seq.3622.33,Legumain,LGMN,Q99538,0.281160647,11.61132451,1.414418765,0.173371339,0.982436854,-4.482718789
seq.3893.64,Mesothelin,Mesothelin,Q13421,0.971638139,9.009090451,1.413595778,0.173609628,0.982436854,-4.48303162
seq.23686.44,CWF19-like protein 1,C19L1,Q69YN2,-0.650036474,11.54765495,-1.413457381,0.173649725,0.982436854,-4.483084215
seq.9380.2,Group XIIB secretory phospholipase A2-like protein,sPLA(2)-XIII,Q9BX93,0.371585952,12.3844742,1.413193757,0.173726125,0.982436854,-4.483184391
seq.6919.3,Hemoglobin subunit zeta,HBAZ,P02008,-0.207394094,12.46991934,-1.413025079,0.173775024,0.982436854,-4.483248481
seq.13954.9,Glucosamine 6-phosphate N-acetyltransferase,GNA1,Q96EK6,-0.573949096,10.31444298,-1.412255837,0.173998161,0.982436854,-4.483540693
seq.9332.6,Beta-defensin 136,DB136,Q30KP8,0.790362862,10.3489258,1.411874677,0.174108812,0.982436854,-4.483685444
seq.20528.23,Macrosialin,CD68,P34810,-0.225720635,11.45077369,-1.410798377,0.174421567,0.982436854,-4.484094043
seq.4866.59,BDNF/NT-3 growth factors receptor,TrkB,Q16620,0.407379993,13.2673488,1.410381982,0.174542687,0.982436854,-4.484252064
seq.5351.52,Heterogeneous nuclear ribonucleoproteins A2/B1,hnRNP A2/B1,P22626,-0.739841743,12.80808533,-1.410169309,0.174604574,0.982436854,-4.484332761
seq.20942.4,DnaJ homolog subfamily B member 8,DNJB8,Q8NHS0,-0.735549364,10.83962233,-1.409216981,0.174881917,0.982436854,-4.484694012
seq.22483.109,Keratin; type II cytoskeletal 71,K2C71,Q3SY84,-0.213633927,12.59493717,-1.409195526,0.17488817,0.982436854,-4.484702148
seq.13242.134,SH3 and multiple ankyrin repeat domains protein 3,SHAN3,Q9BYB0,-0.643828449,10.68044649,-1.40895916,0.174957063,0.982436854,-4.484791784
seq.8866.53,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,Q9NXS2,0.298548077,11.63170833,1.408472547,0.175098964,0.982436854,-4.484976287
seq.22974.25,Histone H2B type 2-E,H2B2E,Q16778,-0.683895117,14.4651096,-1.407596137,0.175354767,0.982436854,-4.485308475
seq.15470.11,Beta-hexosaminidase subunit beta,Hexosaminidase B,P07686,0.327321574,10.28304418,1.407452621,0.175396684,0.982436854,-4.485362859
seq.4420.7,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,O43184,0.178526107,9.977452991,1.40730402,0.175440096,0.982436854,-4.485419166
seq.19111.10,NEDD8-conjugating enzyme Ubc12,UBC12,P61081,-0.515828196,11.85735823,-1.407248489,0.17545632,0.982436854,-4.485440206
seq.19114.8,Thymidine kinase 2; mitochondrial,KITM,O00142,-0.304314728,10.97927796,-1.4064571,0.175687674,0.982436854,-4.485739998
seq.25409.5,Coiled-coil domain-containing protein 140,CC140,Q96MF4,0.121646127,8.459815799,1.405760242,0.175891597,0.982436854,-4.486003886
seq.19765.17,C-type lectin domain family 4 member G,CLC4G,Q6UXB4,0.105367186,10.32929595,1.405406038,0.175995321,0.982436854,-4.486137983
seq.13950.9,Collagen type IV alpha-3-binding protein:StAR-related lipid-transfer domain; isoform 2,C43BP:START domain,Q9Y5P4,-0.812929087,11.22440147,-1.404883027,0.176148568,0.982436854,-4.486335946
seq.22402.12,Histone H2A type 1-A,H2A1A,Q96QV6,-0.643282892,14.50812976,-1.404857244,0.176156125,0.982436854,-4.486345703
seq.23187.9,Deubiquitinating protein VCIP135,VCIP1,Q96JH7,-0.962522151,11.38792434,-1.404205525,0.176347242,0.982436854,-4.48659231
seq.22503.24,Homeobox protein Mohawk,MKX,Q8IYA7,0.106193547,9.787496034,1.403716152,0.176490861,0.982436854,-4.486777435
seq.14703.6,Prokineticin-1,EG-VEGF,P58294,0.14237255,8.597178574,1.403457803,0.176566717,0.982436854,-4.486875148
seq.8244.16,Alpha-(1;6)-fucosyltransferase,FUT8,Q9BYC5,0.507184066,11.88188634,1.403374374,0.17659122,0.982436854,-4.4869067
seq.11699.16,Protein tyrosine phosphatase type IVA 2,TP4A2,Q12974,-0.522873754,9.904673964,-1.401727288,0.17707551,0.982436854,-4.487529352
seq.21655.18,LisH domain-containing protein FOPNL,FOPNL,Q96NB1,-0.471546841,11.66390239,-1.401635332,0.17710258,0.982436854,-4.4875641
seq.15606.19,Keratin; type I cytoskeletal 19,Keratin 19,P08727,-0.174899791,11.95991414,-1.40160766,0.177110726,0.982436854,-4.487574556
seq.11967.23,Cellular retinoic acid-binding protein 1,RABP1,P29762,0.086755527,10.43041134,1.401003123,0.177288774,0.982436854,-4.487802953
seq.12338.27,Pikachurin,EGFLA,Q63HQ2,-0.348280091,12.68196542,-1.400767575,0.177358186,0.982436854,-4.487891926
seq.2647.66,Rab GDP dissociation inhibitor beta,Rab GDP dissociation inhibitor beta,P50395,-0.657757454,14.15430961,-1.400368142,0.177475943,0.982436854,-4.488042779
seq.10454.99,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,-0.245390122,8.403850788,-1.400253796,0.177509665,0.982436854,-4.488085959
seq.3389.7,Plasma serine protease inhibitor,PCI,P05154,1.476255823,10.56580977,1.399561634,0.177713901,0.982436854,-4.488347283
seq.6441.62,A disintegrin and metalloproteinase with thrombospondin motifs 6,ATS6,Q9UKP5,-0.401816789,11.60516848,-1.39882812,0.177930545,0.982436854,-4.488624125
seq.20960.47,Far upstream element-binding protein 1,FUBP1,Q96AE4,-0.60389542,12.93297387,-1.398696371,0.177969479,0.982436854,-4.488673838
seq.19113.66,SH3 domain-binding glutamic acid-rich-like protein 2,SH3L2,Q9UJC5,-1.29845748,12.74004432,-1.397213212,0.178408258,0.982436854,-4.489233271
seq.12853.112,Tropomodulin-2,TMOD2,Q9NZR1,-1.040837149,10.62816414,-1.39710512,0.17844027,0.982436854,-4.489274027
seq.5316.54,Prothrombin,Prothrombin,P00734,0.634105236,15.83128123,1.396382883,0.178654282,0.982436854,-4.489546287
