pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,0.00411149349030887,0.0231119456555824,0.407017918923954,0.497002897556276,1.68480842796701,34,AKT2|STAT3|C1QBP|YWHAQ|BCL2|YWHAH|BMF|APAF1|BID|YWHAB|CASP3|YWHAZ|DYNLL2|GZMB|MAPK1|YWHAG|PPP3R1,Reactome
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.460176991150443,0.598081028500561,0.0770736734944102,0.329062654534229,0.996946796878386,21,VWF|GP1BB|C1QBP|PROC|GP1BA|SERPINE2|GP5,Reactome
REACTOME_ION_CHANNEL_TRANSPORT,0.0874785591766724,0.19834040863446,0.197822021315103,0.399281973235387,1.36169590957101,35,SRI|CLCA2|UBC|ATP1B1|ATP6V1F|ATP6V1C1|ATP6V1C2|FXYD2|RPS27A|SGK3|CASQ1|UBB|FXYD6|CAMK2A,Reactome
REACTOME_ION_HOMEOSTASIS,0.363636363636364,0.511247704550092,0.0880945010398517,0.38084091829605,1.08850555739878,17,SRI|ATP1B1|FXYD2|CASQ1|FXYD6|PRKACA|CAMK2A,Reactome
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,0.461672473867596,0.598347681001659,0.0760837160951725,0.368964634462438,0.987651291433458,13,SRI|ATP1B1|FXYD2|FXYD6|CAMK2A,Reactome
REACTOME_IRAK4_DEFICIENCY_TLR2_4,0.249128919860627,0.395819961037352,0.111918316325105,0.445143773162372,1.19156900519184,13,FGB|BTK|IRAK4|FGG|TLR2|CD14,Reactome
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,0.0139016947011997,0.0526629506048396,0.380730400722792,0.557106929779252,1.66030019527414,20,ARFGAP1|TPP1|DNAJB11|SHC1|PDIA6|HDGF|PDIA5|MYDGF|FKBP14,Reactome
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0.00392100536536783,0.0221723517684491,0.407017918923954,0.566877394423621,1.75486106702298,23,FTL|UBC|CP|ATP6V1F|ATP6V1C1|ATP6V1C2|HMOX2|RPS27A|SKP1|LCN2|UBB|FBXL5,Reactome
REACTOME_IRS_MEDIATED_SIGNALLING,0.812714776632302,0.878360680091794,0.0482149710025565,0.231163060256985,0.79374346087797,36,AKT2|NRAS|GRB2|PTPN11|FGF4|HRAS|FGF8|PDPK1|FGF16|FGF3|PIK3C3|PIK3R1|FGF20|FGF18|FGF6|FGF7|FGF2|FGF22|FGFR4,Reactome
REACTOME_ISG15_ANTIVIRAL_MECHANISM,0.111304347826087,0.228378251479012,0.175204047558551,0.406717598589303,1.3322599877991,30,SEC13|EIF4G1|UBC|ISG15|STAT1|EIF4G2|RPS27A|UBB|EIF4A2|MX1|PPM1B|UBE2E1|HERC5|UBE2N|NUP98,Reactome
