"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.24899.13","EPS8L1","ES8L1","Epidermal growth factor receptor kinase substrate 8-like protein 1","Q8TE68",-0.0462040238639219,8.59922824823762,-0.392040888658619,0.697100886449951,0.855781827732637,-6.42279298910869
"seq.15386.7","FABP4","FABPA","Fatty acid-binding protein; adipocyte","P15090",0.0553578313693599,15.3149023338658,0.391805398237025,0.697273506006514,0.855781827732637,-6.42288512424782
"seq.16932.5","SULT1E1","SULT 1E","Estrogen sulfotransferase","P49888",0.0241818053686575,10.7396441127134,0.391753938659745,0.697303711485852,0.855781827732637,-6.42291149963594
"seq.6411.58","DEFB135","DB135","Beta-defensin 135","Q30KP9",-0.0257977599643482,10.2803371813041,-0.391002628807766,0.697857825733466,0.856310424892046,-6.42320232121279
"seq.23619.235","C19orf53","L10K","Leydig cell tumor 10 kDa protein homolog","Q9UNZ5",0.0190060989961207,8.23902139597556,0.390605636314521,0.698145537295357,0.856512001996549,-6.42336004031656
"seq.5703.26","OLFM1","NOE1","Noelin","Q99784",-0.0177814120839681,8.30473753449058,-0.389885663463139,0.69867275945558,0.857007296776077,-6.42364125837983
"seq.8062.15","EVA1B","F176B","Protein eva-1 homolog B","Q9NVM1",-0.0150316684686214,9.52079796925987,-0.389231959136808,0.699152406946158,0.857444070660903,-6.42389546616387
"seq.2247.20","PROK1","EG-VEGF","Prokineticin-1","P58294",0.0116754118496107,8.40432283687333,0.389058337623177,0.699279820542866,0.857448785076329,-6.42396291168988
"seq.9931.20","KRT1","Keratin-1","Keratin; type II cytoskeletal 1","P04264",0.0371780166177746,11.1535147912892,0.387431449663414,0.700482652044684,0.858575064405989,-6.42458643670446
"seq.25922.7","LRP5","LRP5","Low-density lipoprotein receptor-related protein 5","O75197",0.0162288511627224,11.7062924219703,0.387337071699572,0.700543460771484,0.858575064405989,-6.42462994418505
"seq.13645.14","DHX38","PRP16","Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16","Q92620",0.0186259289875252,10.6177771058436,0.387301564857383,0.700569536628723,0.858575064405989,-6.42464367305356
"seq.25951.17","PRAME","PRAME","Preferentially expressed antigen of melanoma","P78395",-0.054195976108641,12.6086112129751,-0.386507467643723,0.701161286221849,0.85909908517347,-6.42494340844844
"seq.16927.9","F13A1|F13B","Coagulation factor XIII","Coagulation factor XIII","P00488|P05160",-0.0217469070361069,14.5636608370979,-0.386296499529349,0.701307797951151,0.85909908517347,-6.4250317676731
"seq.15603.20","ITGA2","Integrin alpha-2","Integrin alpha-2","P17301",-0.0471502810972666,9.08741981124993,-0.386225348600713,0.701368542658554,0.85909908517347,-6.42505223391358
"seq.14063.17","OSM","OSM","Oncostatin-M","P13725",0.0198684097094777,10.5962203543499,0.384848293162095,0.702372078965057,0.860097450147794,-6.42558921614286
"seq.4471.50","TGM3","TGM3","Protein-glutamine gamma-glutamyltransferase E","Q08188",-0.0908599808243711,9.36027201924485,-0.384778921559421,0.702431510302284,0.860097450147794,-6.42560894443834
"seq.9577.26","SYT2","SYT2","Synaptotagmin-2","Q8N9I0",-0.0288110950868194,10.4201948727641,-0.384582350674677,0.702575126013731,0.860121524242993,-6.42568517151212
"seq.13097.11","BCL2L2","Apoptosis regulator Bcl-W","Bcl-2-like protein 2","Q92843",0.0200509604148404,9.38153682642393,0.383981616944804,0.703011214276609,0.860430800368093,-6.42592024582644
"seq.7859.21","PCDHGC3","PCDGK","Protocadherin gamma-C3","Q9UN70",-0.0714463557164464,14.3792457395278,-0.383902674517298,0.703075751273539,0.860430800368093,-6.42594519190053
"seq.12991.49","CUL9","CUL9","Cullin-9","Q8IWT3",0.0189845685771513,8.9507380658115,0.383534496672878,0.70333916891261,0.86060139183294,-6.42609225980234
"seq.9045.3","SLC27A2","S27A2","Very long-chain acyl-CoA synthetase","O14975",0.0281138884370975,9.84220298630543,0.38288653801901,0.70382311996526,0.860967025943421,-6.42633416719026
"seq.19212.4","DMBT1","DMBT1","Deleted in malignant brain tumors 1 protein","Q9UGM3",0.0253974534549961,9.6323601434836,0.382713639841332,0.703949431654693,0.860967025943421,-6.42640097353857
"seq.10705.14","ST6GALNAC3","SIA7C","Alpha-N-acetylgalactosaminide alpha-2;6-sialyltransferase 3","Q8NDV1",0.0727179294130451,9.23189691852264,0.382632218743023,0.704010218360423,0.860967025943421,-6.42643136006902
"seq.8465.52","CTSH","Cathepsin H","Cathepsin H","P09668",0.0377643111667965,10.480527174891,0.38236852892409,0.70420423013903,0.861035644485793,-6.4265320663912
"seq.2841.13","FRZB","sFRP-3","Secreted frizzled-related protein 3","Q92765",-0.0253743332092178,12.1752419127383,-0.382098224790895,0.704394759039887,0.861035644485793,-6.42664206155313
"seq.20134.27","MARCO","MARCO","Macrophage receptor MARCO","Q9UEW3",0.040204463926595,7.04554427292929,0.382050040838257,0.704438586791446,0.861035644485793,-6.42665360895283
