pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SECRETION,0.469953775038521,0.889802184356023,0.0689567351672811,0.306480380401316,0.988799143774054,25,APOE|PRKN|FAM3D|GHRL|SYTL4|INHBB|NPFF|CCN3|CHGA,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,0.983870967741936,1,0.0365314928349125,0.18865881435113,0.539758512811624,16,APOE|NPPA|AGT,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,0.291545189504373,0.799885118966154,0.0913924325943768,0.313401010385048,1.11468026395962,38,MAD2L1|SQSTM1|HDAC8|MINAR1|TTC36|CAMLG|KLHL40|HSPA1A|ARRB1|PARK7|SVBP|RPL11|RPL5|AKT1|BEX2|ISG15|RPS7|USP4|SENP2,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.757142857142857,0.978737900411432,0.0880945010398517,-0.190545073270192,-0.880180077350789,82,EPHA4|SERPINB13|MAGEA3|TIMP1|TP53|GAS1|CSNK2A1|CHAC1|TIMP2|USP5|SPINK5|CST4|CR1,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,0.982507288629738,1,0.0317812506835949,0.169484915914479,0.602810726668093,38,DDRGK1|CSNK2A2|TTC36|CAMLG|USP25|KLHL40|CSNK2B|PARK7|SMARCC1|USP14|RPL11|RPL5|GIPC1|RPS7|HSP90AB1,GO_BP
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.387596899224806,0.853044457695621,0.0791316651768349,0.342331443796122,1.03975673343615,19,ACP5|TIGAR|PRKN|HK2|PAGE4|HDAC6|PARK7|RHOA,GO_BP
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.804071246819338,0.983273820410628,0.0672065093710464,-0.252383276547479,-0.779641486971744,15,LRRTM2|ANXA2|ADIPOQ|LRRTM1|SH3GL3|LRPAP1|DLG4,GO_BP
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,0.683279742765273,0.969146365412986,0.0531298054705469,0.33450705156993,0.835175691923533,10,PRKN|FXN|CLU|HGF,GO_BP
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.546268656716418,0.921009847640282,0.0965629554309422,-0.249586789693012,-0.946535746222274,32,BMP7|BMP4|TIMP1|HPGDS|PTGDS|SEMG1|SERPINF1|IGF1|KIT,GO_BP
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.809256661991585,0.98577487675232,0.0391155247681459,0.194270211160455,0.797347282565089,75,NR1H2|HLA-E|TIGIT|NECTIN2|TGFB1|RPS19|NLRP4|AURKB|KLRC1|FOXP3|PPARG|LTF|SERPING1|IFI16|HAVCR2|INPP5D|DHX58|SERPINB9|LGALS9|PARP1,GO_BP
