"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.8681.93","PGRMC2","PGRC2:N-term","Membrane-associated progesterone receptor component 2:N-term; Isoform 2","O15173",0.727476668219188,10.1008290643635,3.74635822272957,0.000702141863385653,0.0090729281006202,-0.509495153854111
"seq.10561.5","PGLYRP3","PGRP-I-alpha","Peptidoglycan recognition protein 3","Q96LB9",0.926506158856442,10.3440840619966,3.74531875115298,0.000704166910268179,0.0090821825099459,-0.512153708025227
"seq.7853.19","SCO1","SCO1","Protein SCO1 homolog; mitochondrial","O75880",-0.508449314783906,11.5052780949092,-3.74086005820272,0.000708736602824378,0.00911077754453576,-0.51926336367828
"seq.23293.15","CHAC1","CHAC1","Glutathione-specific gamma-glutamylcyclotransferase 1","Q9BUX1",-0.594145778186773,10.3279570899967,-3.74057252092339,0.000713485643736115,0.00911077754453576,-0.524289253668382
"seq.5757.45","GNAS","GNAS3","Neuroendocrine secretory protein 55","O95467",0.32289740407824,10.4177793058135,3.7386209604435,0.000712809885803571,0.00911077754453576,-0.524645438791358
"seq.23310.51","RAB38","RAB38","Ras-related protein Rab-38","P57729",-0.545474745820782,11.9460293819181,-3.73830376923691,0.00071351161063813,0.00911077754453576,-0.5255333829904
"seq.12738.43","NISCH","NISCH","Nischarin","Q9Y2I1",0.77140806612713,12.1927824012805,3.73903254341066,0.000716534902828464,0.00911077754453576,-0.528225584579409
"seq.17140.57","PDGFD","PDGFD","Platelet-derived growth factor D","Q9GZP0",0.581946978331363,15.9378178279376,3.73703314342026,0.000715956282224577,0.00911077754453576,-0.528710151499984
"seq.21595.8","CCDC43","CCD43","Coiled-coil domain-containing protein 43","Q96MW1",0.672587581364242,12.3862839643948,3.73777724955172,0.000716885154214796,0.00911077754453576,-0.529255793177773
"seq.21189.9","NUBP1","NUBP1","Nucleotide-binding protein 1","P53384",-0.595771259980404,11.7742667495254,-3.73769549982098,0.000716887813707527,0.00911077754453576,-0.529302400853032
"seq.23411.108","PNMA2","PNMA2","Paraneoplastic antigen Ma2","Q9UL42",-0.653519445137977,12.1019257822385,-3.73524267420323,0.000722090684677156,0.00915350514345544,-0.535891987421049
"seq.3620.67","IL22RA1","IL22RA1","Interleukin-22 receptor subunit alpha-1","Q8N6P7",0.342398758213752,11.3583133158906,3.7335587945575,0.000722888142183828,0.00915350514345544,-0.537602043740522
"seq.23306.37","PMF1","PMF1","Polyamine-modulated factor 1","Q6P1K2",-0.737352347136083,11.6339546606252,-3.73458900678135,0.000725404568127533,0.00916111401363867,-0.539580364035056
"seq.20924.85","TCEAL1","TCAL1","Transcription elongation factor A protein-like 1","Q15170",0.388219085539827,11.4569651463121,3.731544238018,0.000726937309987776,0.00916111401363867,-0.54275649189236
"seq.12904.180","CUBN","cubilin","cubilin","O60494",0.335955201369052,7.91377058863524,3.73061956422399,0.00072881123359136,0.00916111401363867,-0.545130016342663
"seq.13388.57","PCSK1","NEC1","Neuroendocrine convertase 1","P29120",0.389921267923066,11.1856031800842,3.73006550864132,0.000729923502718144,0.00916111401363867,-0.546539315793501
"seq.15297.3","S100A3","S100A3","Protein S100-A3","P33764",0.935622307695169,9.90449877004016,3.73040819452104,0.000733847170539546,0.00916111401363867,-0.550259265129228
"seq.24678.10","AVEN","AVEN","Cell death regulator Aven","Q9NQS1",0.189778798165591,9.14020473614628,3.72791314310225,0.000734291362797665,0.00916111401363867,-0.552044413834413
"seq.6463.59","QRFP","OX26","Orexigenic neuropeptide QRFP","P83859",0.294711266681343,11.3479945046592,3.72788931439934,0.000734339860907867,0.00916111401363867,-0.552105353826327
"seq.22129.55","ELL3","ELL3","RNA polymerase II elongation factor ELL3","Q9HB65",-0.323902562791249,9.04934851629948,-3.72745977114062,0.000735214635959902,0.00916111401363867,-0.553203851369928
"seq.8645.257","PEX14","PEX14:C-term","Peroxisomal membrane protein PEX14:C-term","O75381",0.467800956777538,11.2875169588747,3.72731385922751,0.000735512019288625,0.00916111401363867,-0.553576990232945
"seq.11285.8","CD34","CD34","Hematopoietic progenitor cell antigen CD34","P28906",0.498748136073704,10.7959950262775,3.72763301213834,0.000737475183307266,0.00916111401363867,-0.555345497362345
"seq.10012.5","SPDEF","SPDEF","SAM pointed domain-containing Ets transcription factor","O95238",0.431623581092735,11.0834195107612,3.72608967649666,0.000738011634763513,0.00916111401363867,-0.55670736491233
"seq.24684.7","GIMAP4","GIMA4","GTPase IMAP family member 4","Q9NUV9",0.64911770546426,10.7524519260194,3.72692866493074,0.000740946347509693,0.00918111911673172,-0.559143547463731
"seq.12643.4","ARRB1","ARRB1","Beta-arrestin-1","P49407",1.31306875499908,9.76437633806723,3.72544776055244,0.000743987991652298,0.00920237553311104,-0.562923812799262
"seq.14593.152","FAM210A","F210A","Protein FAM210A","Q96ND0",1.1050464722345,13.5025915839018,3.72335501232323,0.000748306998887249,0.00922612968236116,-0.568264969533441
"seq.13479.8","FAM171A2","F1712","Protein FAM171A2","A8MVW0",0.71260385641591,12.0038278640966,3.7217002153262,0.000751739398114877,0.00922612968236116,-0.572487592078168
"seq.15323.112","AGO3","AGO3","Protein argonaute-3","Q9H9G7",0.574303621745441,9.64465325022968,3.72164235458612,0.000751859689835239,0.00922612968236116,-0.572635225454456
"seq.8817.29","CENPV","CENPV","Centromere protein V","Q7Z7K6",0.734140305520549,9.64009132838663,3.7213421726412,0.000752484064353667,0.00922612968236116,-0.573401134857138
"seq.9609.25","ZNF275","ZN275","Zinc finger protein 275","Q9NSD4",0.659246197178135,12.6978755086152,3.71964100434788,0.000752556477909846,0.00922612968236116,-0.57439090904839
"seq.10643.16","OLFM3","NOE3:C-term","Noelin-3:Isoform 2; C-term","Q96PB7",0.818503911612828,12.5033808323065,3.71916419601388,0.000757029335162891,0.00924828619136497,-0.578957521783596
"seq.3388.58","PAK5","PAK7","Serine/threonine-protein kinase PAK 5","Q9P286",0.244923858886182,10.6677216894773,3.71697232227462,0.000756889348266037,0.00924828619136497,-0.58000942560759
"seq.24674.22","EGLN2","EGLN2","Egl nine homolog 2","Q96KS0",0.910895834614321,13.2265504369721,3.71808015118606,0.000759301582443843,0.00925351115461718,-0.581722654091487
"seq.23382.30","VCX3A","VCX3","Variable charge X-linked protein 3","Q9NNX9",0.325420399434877,8.870036020151,3.71541967109711,0.000760150537976331,0.00925351115461718,-0.583975554472643
"seq.4450.26","HNRNPAB","hnRNP A/B","Heterogeneous nuclear ribonucleoprotein A/B","Q99729",1.13344588548118,11.7670789153405,3.71705442665212,0.0007614576840015,0.00925351115461718,-0.584338750246756
"seq.7986.98","NAALAD2","NALD2","N-acetylated-alpha-linked acidic dipeptidase 2","Q9Y3Q0",-0.984581898669562,12.0947996358112,-3.71501463856146,0.000765763059721173,0.00926857875247553,-0.589540404737728
"seq.13652.2","TOM1L1","TM1L1","TOM1-like protein 1","O75674",-0.530852189050027,11.8080227818956,-3.71244557605292,0.000766592288184522,0.00926857875247553,-0.59171953124638
"seq.12830.4","SAP18","SAP18","Histone deacetylase complex subunit SAP18","O00422",0.553861768320061,11.1787536039005,3.71306045341037,0.000768343380257511,0.00926857875247553,-0.593043352345743
