"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.8778.3","NOG","Noggin","Noggin","Q13253",0.347310697049039,9.08235793843585,2.67974168977144,0.0113579233945957,0.0342068708485676,-3.19879030720554
"seq.17325.10","GUK1","KGUA","Guanylate kinase","Q16774",-0.735656512256234,13.9067952142073,-2.67942985615438,0.0113665965448615,0.0342181403144444,-3.19947791711493
"seq.9202.309","ATP5PO","ATPO","ATP synthase subunit O; mitochondrial","P48047",-1.04617351116721,11.6889224504817,-2.67829187836768,0.0113982997176424,0.0342986998008328,-3.20198678794736
"seq.3323.37","LRP8","LRP8","Low-density lipoprotein receptor-related protein 8","Q14114",-0.32836793826951,11.3173359483233,-2.67529212164631,0.0114585658091352,0.034465101061807,-3.20745840376354
"seq.16605.2","C1QTNF9","C1T9A","Complement C1q and tumor necrosis factor-related protein 9A","P0C862",0.290076320484186,10.2924495833657,2.67480297416256,0.0114794553637117,0.0345129726034642,-3.20888046990408
"seq.7139.14","SLITRK4","SLIK4","SLIT and NTRK-like protein 4","Q8IW52",-0.456071484839278,12.185712246803,-2.67439619950268,0.0114990793220054,0.0345569993137269,-3.21016939594747
"seq.7134.14","BCL2L2","Apoptosis regulator Bcl-W","Bcl-2-like protein 2","Q92843",-0.181917861480883,10.4925170936068,-2.67139521347939,0.0115675253500349,0.0347476443306892,-3.21600502435146
"seq.21323.2","RWDD1","RWDD1","RWD domain-containing protein 1","Q9H446",-0.658099587632579,12.9131323737439,-2.67116996729182,0.0115985809160541,0.0348139381016572,-3.21767288048698
"seq.12835.101","PYDC1","PYDC1","Pyrin domain-containing protein 1","Q8WXC3",0.361072860324088,9.3449605149815,2.67113300254275,0.0115996288933609,0.0348139381016572,-3.21775422638907
"seq.15539.15","SLITRK1","SLIK1","SLIT and NTRK-like protein 1","Q96PX8",-0.447463766412795,10.9669861896425,-2.66869956164902,0.0116688121519506,0.0350064364558517,-3.22310776154209
"seq.13118.5","SMOC1","SMOC1","SPARC-related modular calcium-binding protein 1","Q9H4F8",0.197472224829998,11.44046024581,2.66751750335095,0.0116777618359938,0.0350086472274503,-3.22454229116792
"seq.19129.15","MTHFSD","MTHFSD","Methenyltetrahydrofolate synthase domain-containing protein","Q2M296",0.263326749584666,12.1304919605136,2.66745174926684,0.0116796394770929,0.0350086472274503,-3.22468698866813
"seq.3079.62","RARRES2","TIG2","Retinoic acid receptor responder protein 2","Q99969",0.232975031621201,12.5639418882101,2.66713457263788,0.0116887005468964,0.0350206792292375,-3.22538493098026
"seq.8840.61","C1S","C1s","Complement C1s subcomponent","P09871",-0.183935836164256,15.0342494496478,-2.66636733672719,0.0117106458128311,0.0350597598449369,-3.2270730022126
"seq.21130.82","ITPK1","ITPK1","Inositol-tetrakisphosphate 1-kinase","Q13572",-0.360404628869574,13.6229334200578,-2.66632529458121,0.0117118494481285,0.0350597598449369,-3.22716549429212
"seq.19170.25","POLE3","DPOE3","DNA polymerase epsilon subunit 3","Q9NRF9",0.235188086344111,10.766070484893,2.66570115831515,0.0117297314945402,0.0350981487022916,-3.22853847474635
"seq.11318.20","APOA5","Apo A-V","Apolipoprotein A-V","Q6Q788",0.698015218528838,11.0768849743742,2.66545207415738,0.0117617349106803,0.0351713311798996,-3.2302473378292
"seq.13566.2","SSU72","SSU72","RNA polymerase II subunit A C-terminal domain phosphatase SSU72","Q9NP77",0.37576251159474,8.68181534856153,2.66536185359428,0.0117643262240304,0.0351713311798996,-3.2304456078094
"seq.22146.20","FOSL2","FOSL2","Fos-related antigen 2","P15408",0.353729718214426,9.44321027080862,2.66468320888539,0.0117838352123362,0.0352144842973304,-3.23193686959654
"seq.9014.18","TMEM25","TMM25","Transmembrane protein 25","Q86YD3",0.275183633972615,8.5581832944027,2.66325285833608,0.0118194776526886,0.035305792265177,-3.23482071132814
"seq.14002.18","DOCK9","DOCK9","Dedicator of cytokinesis protein 9","Q9BZ29",0.294457467868037,10.2494433605464,2.66209444424124,0.0118452695761359,0.0353676099779721,-3.23701025895713
"seq.3714.49","CKB|CKM","CK-MB","Creatine kinase M-type:Creatine kinase B-type heterodimer","P12277|P06732",0.835497930593935,10.2511111174207,2.66202962015954,0.01186040608431,0.0353975732554954,-3.23776556691865
"seq.10582.36","POMK","SG196","Protein O-mannose kinase","Q9H5K3",1.09240636699522,9.91977505913427,2.66115422593985,0.0118857670759087,0.0354580127857828,-3.23968758551536
"seq.3799.11","CA3","Carbonic anhydrase III","Carbonic anhydrase 3","P07451",0.783679371691079,10.7133466603749,2.66010403484774,0.0119162583983023,0.0355336987648558,-3.24199285523315
"seq.11643.73","DTX3L","DTX3L","E3 ubiquitin-protein ligase DTX3L","Q8TDB6",-0.411349205559405,10.189485319921,-2.65866230494928,0.0119582357434389,0.0356435557662038,-3.24515664168496
"seq.11391.69","MVK","MVK","Mevalonate kinase","Q03426",0.749842831052652,13.5372311191816,2.65736046644693,0.011996257683774,0.0357108674679141,-3.24801250181432
"seq.13640.5","BCL6","BCL6","B-cell lymphoma 6 protein","P41182",-0.201993339762716,9.28780875070962,-2.65666835926048,0.011991377804818,0.0357108674679141,-3.24838583304511
"seq.13386.248","RNF34","RNF34","E3 ubiquitin-protein ligase RNF34","Q969K3",0.1472631148273,10.5836782085857,2.65665443312284,0.0119917853341495,0.0357108674679141,-3.24841639893756
"seq.5465.32","HS6ST1","H6ST1","Heparan-sulfate 6-O-sulfotransferase 1","O60243",0.589491459661502,10.4934772571106,2.65693555996431,0.0120086918707262,0.0357325526976712,-3.24894443082723
"seq.6451.64","ASPN","ASPN","Asporin","Q9BXN1",0.385210925501758,13.7627509731981,2.65427288468665,0.0120616670594481,0.0358747997108916,-3.25364204507784
